378;Weather;4
379;LateAircraft;94
380;LateAircraft;79
381;NAS;115
382;NAS;92
383;Carrier;11
384;NAS;3
385;LateAircraft;45
386;Carrier;4
387;LateAircraft;15
388;Carrier;4
389;LateAircraft;12
390;NAS;28
391;NAS;52
392;NAS;15
393;Weather;6
394;NAS;9
395;LateAircraft;27
396;NAS;70
397;Carrier;23
398;Carrier;14
399;LateAircraft;4
400;NAS;125
401;NAS;83
402;Weather;6
403;NAS;2
404;LateAircraft;110
405;LateAircraft;61
407;NAS;37
408;Carrier;6
409;NAS;24
410;NAS;85
411;NAS;79
412;Weather;30
413;LateAircraft;33
414;Carrier;9
415;NAS;20
416;NAS;48
417;NAS;16
418;Carrier;10
419;NAS;5
420;Carrier;45
421;NAS;24
422;Weather;5
423;LateAircraft;12
424;NAS;2
425;LateAircraft;14
426;NAS;48
427;NAS;65
428;Carrier;13
429;NAS;2
430;LateAircraft;26
431;Carrier;6
432;NAS;7
433;LateAircraft;3
434;NAS;17
435;Carrier;33
436;NAS;1
437;LateAircraft;15
438;NAS;17
439;NAS;29
440;NAS;17
441;Carrier;37
442;Carrier;8
443;NAS;19
444;NAS;1
445;LateAircraft;33
446;Carrier;15
447;LateAircraft;25
448;Carrier;21
449;NAS;6
450;LateAircraft;24
451;Carrier;30
452;NAS;17
453;NAS;93
454;NAS;55
455;Carrier;61
456;LateAircraft;4
457;NAS;58
458;Carrier;104
459;Carrier;15
460;LateAircraft;32
461;Carrier;12
462;LateAircraft;6
463;NAS;15
464;NAS;37
465;NAS;26
466;NAS;121
467;NAS;47
468;Carrier;7
469;LateAircraft;31
470;NAS;21
471;LateAircraft;48
472;NAS;15
473;NAS;28
474;Carrier;48
475;NAS;31
476;Carrier;20
477;NAS;10
478;LateAircraft;8
479;Carrier;33
480;Carrier;20
481;NAS;13
482;LateAircraft;55
483;LateAircraft;22
484;NAS;33
485;Carrier;2
486;NAS;14
487;LateAircraft;17
488;NAS;19
489;NAS;22
490;Carrier;425
491;NAS;34
492;NAS;17
493;LateAircraft;35
494;NAS;25
495;LateAircraft;25
496;NAS;7
497;LateAircraft;29
498;NAS;30
499;NAS;65
500;NAS;82
501;LateAircraft;15
502;Carrier;57
503;NAS;3
504;Carrier;28
505;NAS;12
506;LateAircraft;1
507;NAS;16
508;NAS;19
509;LateAircraft;3
510;Carrier;15
511;NAS;8
512;Weather;8
513;LateAircraft;18
514;NAS;13
515;LateAircraft;19
516;Carrier;19
517;LateAircraft;9
518;LateAircraft;17
519;Carrier;121
520;NAS;26
521;Carrier;67
522;NAS;2
523;LateAircraft;1
524;NAS;66
525;NAS;94
526;Weather;8
527;NAS;5
528;LateAircraft;61
529;LateAircraft;50
530;NAS;61
531;NAS;50
532;NAS;17
533;Carrier;131
534;Carrier;22
535;Weather;7
536;Carrier;58
537;NAS;114
538;NAS;89
539;Weather;5
540;LateAircraft;76
541;NAS;14
542;LateAircraft;74
543;NAS;9
544;LateAircraft;21
545;Carrier;16
546;NAS;3
547;Carrier;20
548;NAS;18
549;LateAircraft;8
550;NAS;33
551;Carrier;34
552;LateAircraft;13
553;NAS;16
554;NAS;44
555;Carrier;14
556;NAS;22
557;LateAircraft;4
558;Carrier;8
559;NAS;7
560;NAS;30
561;NAS;16
562;NAS;26
563;NAS;19
564;Carrier;10
565;NAS;2
566;LateAircraft;4
567;NAS;20
569;NAS;49
570;Carrier;28
571;NAS;5
572;NAS;49
573;NAS;91
574;LateAircraft;13
575;Carrier;15
576;NAS;2
577;LateAircraft;12
578;Carrier;40
579;Carrier;15
580;Carrier;14
581;NAS;16
582;Carrier;5
583;NAS;6
584;LateAircraft;9
585;NAS;63
586;LateAircraft;2
587;NAS;61
588;LateAircraft;20
589;NAS;90
590;Carrier;7
591;NAS;12
592;Carrier;16
593;Carrier;13
594;LateAircraft;23
595;NAS;20
596;Carrier;163
597;NAS;14
598;Weather;31
599;NAS;3
