N378AA;1963;CESSNA;172E;Reciprocating
N4WPAA;;;;
N515AA;;;;
N413AA;1986;DOUGLAS;DC-9-82(MD-82);Turbo-Fan
N5CBAA;;;;
N455AA;1988;DOUGLAS;DC-9-82(MD-82);Turbo-Fan
N478AA;1988;DOUGLAS;DC-9-82(MD-82);Turbo-Fan
N4WJAA;;;;
N509AA;;BAUMAN RANDY;FALCON-XP;Reciprocating
N490AA;1989;DOUGLAS;DC-9-82(MD-82);Turbo-Fan
N482AA;1988;DOUGLAS;DC-9-82(MD-82);Turbo-Fan
N502AA;;;;
N3CFAA;;;;
N3BEAA;;;;
N575AA;1963;CESSNA;210-5(205);Reciprocating
N560AA;;;;
N258AA;1985;DOUGLAS;DC-9-82(MD-82);Turbo-Fan
N614AA;1989;BOEING;757-223;Turbo-Fan
N5FPAA;;;;
N483AA;;;;
N410AA;1986;DOUGLAS;DC-9-82(MD-82);Turbo-Fan
N443AA;1987;DOUGLAS;DC-9-82(MD-82);Turbo-Fan
N590AA;1991;DOUGLAS;DC-9-83(MD-83);Turbo-Fan
N5CXAA;;;;
N641AA;1991;BOEING;757-223;Turbo-Fan
N460AA;1988;DOUGLAS;DC-9-82(MD-82);Turbo-Fan
N459AA;1988;DOUGLAS;DC-9-82(MD-82);Turbo-Fan
N439AA;1987;DOUGLAS;DC-9-83(MD-83);Turbo-Fan
N4YTAA;;;;
N418AA;1986;DOUGLAS;DC-9-82(MD-82);Turbo-Fan
N245AA;1984;DOUGLAS;DC-9-82(MD-82);Turbo-Fan
N4YCAA;;;;
N4YJAA;;;;
N4XEAA;;;;
N613AA;1989;BOEING;757-223;Turbo-Fan
N357AA;1988;BOEING;767-323;Turbo-Fan
N463AA;1988;DOUGLAS;DC-9-82(MD-82);Turbo-Fan
N290AA;1985;DOUGLAS;DC-9-82(MD-82);Turbo-Fan
N487AA;1988;DOUGLAS;DC-9-82(MD-82);Turbo-Fan
N3AGAA;;;;
N3CTAA;;;;
N4YKAA;;;;
N3AUAA;;;;
N3DFAA;;;;
N408AA;1986;DOUGLAS;DC-9-82(MD-82);Turbo-Fan
N401AA;;RAVEN;S-50A;None
N3ASAA;;;;
N3CAAA;;;;
N3APAA;;;;
N3BFAA;;;;
N527AA;;;;
N544AA;2007;FRIEDEMANN JON;VANS AIRCRAFT RV6;Reciprocating
N253AA;;;;
N581AA;1991;DOUGLAS;DC-9-82(MD-82);Turbo-Fan
N551AA;1985;LEBLANC GLENN T;FALCON XP;Reciprocating
N444AA;1973;CESSNA;182P;Reciprocating
N246AA;1984;DOUGLAS;DC-9-82(MD-82);Turbo-Fan
N5DKAA;;;;
N4XNAA;;;;
N4WAAA;;;;
N591AA;1991;DOUGLAS;DC-9-83(MD-83);Turbo-Fan
N4XCAA;;;;
N433AA;1987;DOUGLAS;DC-9-83(MD-83);Turbo-Fan
N4WMAA;;;;
N350AA;1980;PIPER;PA-31-350;Reciprocating
N3DKAA;;;;
N508AA;1975;BELL;206B;Turbo-Shaft
N564AA;1987;DOUGLAS;DC-9-83(MD-83);Turbo-Fan
N539AA;;;;
N4XHAA;;;;
N4WXAA;;;;
N567AA;1959;DEHAVILLAND;OTTER DHC-3;Reciprocating
N274AA;1984;DOUGLAS;DC-9-82(MD-82);Turbo-Fan
N597AA;1992;DOUGLAS;DC-9-83(MD-83);Turbo-Fan
N4YBAA;;;;
N588AA;1991;DOUGLAS;DC-9-83(MD-83);Turbo-Fan
N255AA;1984;DOUGLAS;DC-9-82(MD-82);Turbo-Fan
N417AA;1986;DOUGLAS;DC-9-82(MD-82);Turbo-Fan
N574AA;1991;DOUGLAS;DC-9-82(MD-82);Turbo-Fan
N427AA;1986;DOUGLAS;DC-9-82(MD-82);Turbo-Fan
N201AA;1959;CESSNA;150;Reciprocating
N5EPAA;;;;
N620AA;1990;BOEING;757-223;Turbo-Fan
N553AA;1991;DOUGLAS;DC-9-82(MD-82);Turbo-Fan
N4WBAA;;;;
N599AA;1992;DOUGLAS;DC-9-83(MD-83);Turbo-Fan
N3ATAA;;;;
N3BBAA;;;;
N223AA;1983;DOUGLAS;DC-9-82(MD-82);Turbo-Fan
N4XMAA;;;;
N461AA;1988;DOUGLAS;DC-9-82(MD-82);Turbo-Fan
N3BUAA;;;;
N3BDAA;;;;
N3CMAA;;;;
N503AA;;;;
N3CJAA;;;;
N3BCAA;;;;
N4XJAA;;;;
N4XBAA;;;;
N4XSAA;;;;
N582AA;1991;DOUGLAS;DC-9-82(MD-82);Turbo-Fan
N425AA;1968;PIPER;PA-28-180;Reciprocating
N441AA;1987;DOUGLAS;DC-9-82(MD-82);Turbo-Fan
N522AA;;;;
N543AA;;;;
N5FMAA;;;;
N4YAAA;;;;
N479AA;1988;DOUGLAS;DC-9-82(MD-82);Turbo-Fan
N496AA;1989;DOUGLAS;DC-9-82(MD-82);Turbo-Fan
N3BJAA;;;;
N627AA;1990;BOEING;757-223;Turbo-Fan
N642AA;1991;BOEING;757-223;Turbo-Fan
N467AA;1988;DOUGLAS;DC-9-82(MD-82);Turbo-Fan
N4YGAA;;;;
N355AA;1988;BOEING;767-323;Turbo-Fan
N570AA;1987;DOUGLAS;DC-9-83(MD-83);Turbo-Fan
N593AA;1991;DOUGLAS;DC-9-83(MD-83);Turbo-Fan
N424AA;1986;DOUGLAS;DC-9-82(MD-82);Turbo-Fan
N577AA;1991;DOUGLAS;DC-9-82(MD-82);Turbo-Fan
N3ABAA;;;;
N3ANAA;;;;
N437AA;1987;DOUGLAS;DC-9-83(MD-83);Turbo-Fan
N435AA;1987;DOUGLAS;DC-9-83(MD-83);Turbo-Fan
N4XFAA;;;;
N4XPAA;;;;
N4XGAA;;;;
N4YRAA;;;;
N415AA;1986;DOUGLAS;DC-9-82(MD-82);Turbo-Fan
N545AA;1976;PIPER;PA-32R-300;Reciprocating
N3CBAA;;;;
N5FRAA;;;;
N4YHAA;;;;
N4XTAA;;;;
N431AA;1986;DOUGLAS;DC-9-82(MD-82);Turbo-Fan
N4XLAA;;;;
N569AA;1987;DOUGLAS;DC-9-83(MD-83);Turbo-Fan
N5DCAA;;;;
N485AA;1988;DOUGLAS;DC-9-82(MD-82);Turbo-Fan
N618AA;1989;BOEING;757-223;Turbo-Fan
N411AA;1986;DOUGLAS;DC-9-82(MD-82);Turbo-Fan
N293AA;1985;DOUGLAS;DC-9-82(MD-82);Turbo-Fan
N580AA;1991;DOUGLAS;DC-9-82(MD-82);Turbo-Fan
N082AA;;;;
N5FGAA;;;;
N3AFAA;;;;
N4WNAA;;;;
N556AA;1991;DOUGLAS;DC-9-82(MD-82);Turbo-Fan
N412AA;1986;DOUGLAS;DC-9-82(MD-82);Turbo-Fan
N5FFAA;;;;
N5EYAA;;;;
N4XKAA;;;;
N514AA;;;;
N4WSAA;;;;
N5CFAA;;;;
N5CVAA;;;;
N067AA;;;;
N075AA;;;;
N462AA;1988;DOUGLAS;DC-9-82(MD-82);Turbo-Fan
N4WRAA;;;;
N292AA;1985;DOUGLAS;DC-9-82(MD-82);Turbo-Fan
N480AA;1988;DOUGLAS;DC-9-82(MD-82);Turbo-Fan
N512AA;;;;
N5CHAA;;;;
N619AA;1990;BOEING;757-223;Turbo-Fan
N370AA;1992;BOEING;767-323;Turbo-Fan
N4YMAA;;;;
N3CRAA;;;;
N525AA;1980;PIPER;PA-31-350;Reciprocating
N3ARAA;;;;
N3AAAA;;;;
N3CDAA;;;;
N5BWAA;;;;
N5FLAA;;;;
N519AA;1979;CESSNA;550;Turbo-Fan
N643AA;1991;BOEING;757-223;Turbo-Fan
N4YFAA;;;;
N3AHAA;;;;
N450AA;1987;DOUGLAS;DC-9-82(MD-82);Turbo-Fan
N501AA;1989;DOUGLAS;DC-9-82(MD-82);Turbo-Fan
N232AA;1983;DOUGLAS;DC-9-82(MD-82);Turbo-Fan
N3BLAA;;;;
N3DEAA;;;;
N5DNAA;;;;
N5DDAA;;;;
N611AA;1985;MORSE GEORGE JR;F85P-1;Reciprocating
N625AA;1990;BOEING;757-223;Turbo-Fan
N5CTAA;;;;
N5DGAA;;;;
N4XVAA;;;;
N420AA;1986;DOUGLAS;DC-9-82(MD-82);Turbo-Fan
N453AA;1988;DOUGLAS;DC-9-82(MD-82);Turbo-Fan
N535AA;;;;
N5CRAA;;;;
N060AA;;;;
N416AA;1986;DOUGLAS;DC-9-82(MD-82);Turbo-Fan
N7BGAA;;;;
N3BSAA;;;;
N594AA;1992;DOUGLAS;DC-9-83(MD-83);Turbo-Fan
N438AA;1987;DOUGLAS;DC-9-83(MD-83);Turbo-Fan
N4XUAA;;;;
N5BUAA;;;;
N5FNAA;;;;
N432AA;1987;DOUGLAS;DC-9-82(MD-82);Turbo-Fan
N470AA;1988;DOUGLAS;DC-9-82(MD-82);Turbo-Fan
N511AA;;;;
N523AA;1968;BEECH;60;Reciprocating
N568AA;1987;DOUGLAS;DC-9-83(MD-83);Turbo-Fan
N552AA;1991;DOUGLAS;DC-9-82(MD-82);Turbo-Fan
N571AA;1987;DOUGLAS;DC-9-83(MD-83);Turbo-Fan
N454AA;1987;DOUGLAS;DC-9-82(MD-82);Turbo-Fan
N4YLAA;;;;
N259AA;1985;DOUGLAS;DC-9-82(MD-82);Turbo-Fan
N5BRAA;;;;
N616AA;1989;BOEING;757-223;Turbo-Fan
N447AA;1987;DOUGLAS;DC-9-82(MD-82);Turbo-Fan
N475AA;1988;DOUGLAS;DC-9-82(MD-82);Turbo-Fan
N3BWAA;;;;
N3DBAA;;;;
N633AA;1990;BOEING;757-223;Turbo-Fan
N5CWAA;;;;
N442AA;1987;DOUGLAS;DC-9-82(MD-82);Turbo-Fan
N534AA;;;;
N3BKAA;;;;
N071AA;;;;
N066AA;;;;
N079AA;;;;
N5DLAA;;;;
N5FTAA;;;;
N073AA;;;;
N059AA;;;;
N084AA;;;;
N051AA;;;;
N5EBAA;;;;
N623AA;1990;BOEING;757-223;Turbo-Fan
N3BAAA;;;;
N3BGAA;;;;
N3AVAA;;;;
N3CKAA;;;;
N242AA;1984;DOUGLAS;DC-9-82(MD-82);Turbo-Fan
N610AA;1989;BOEING;757-223;Turbo-Fan
N531AA;;;;
N547AA;1985;LEBLANC GLENN T;FALCON XP;Reciprocating
N5BVAA;;;;
N636AA;;;;
N5DWAA;;;;
N5DBAA;;;;
N3ACAA;;;;
N452AA;1988;DOUGLAS;DC-9-82(MD-82);Turbo-Fan
N491AA;1989;DOUGLAS;DC-9-82(MD-82);Turbo-Fan
N548AA;;;;
N430AA;1986;DOUGLAS;DC-9-82(MD-82);Turbo-Fan
N476AA;1988;DOUGLAS;DC-9-82(MD-82);Turbo-Fan
N5DTAA;;;;
N3CUAA;;;;
N3CLAA;;;;
N4WLAA;;;;
N466AA;1988;DOUGLAS;DC-9-82(MD-82);Turbo-Fan
N426AA;1986;DOUGLAS;DC-9-82(MD-82);Turbo-Fan
N414AA;;;;
N298AA;1985;DOUGLAS;DC-9-82(MD-82);Turbo-Fan
N4YPAA;;;;
N573AA;1991;DOUGLAS;DC-9-82(MD-82);Turbo-Fan
N422AA;1986;DOUGLAS;DC-9-82(MD-82);Turbo-Fan
N076AA;;;;
N069AA;;;;
N081AA;;;;
N063AA;;;;
N5CMAA;;;;
N5DSAA;;;;
N5DPAA;;;;
N080AA;;;;
N4XYAA;;;;
N626AA;1990;BOEING;757-223;Turbo-Fan
N3AYAA;;;;
N7CCAA;;;;
